00:03:14 | ICMP | 192.168.188.153:80 | Suspicious
00:03:36 | ICMP | 192.168.186.197:21 | Safe
00:03:37 | TCP | 192.168.127.205:3389 | Suspicious
00:03:37 | ICMP | 192.168.200.248:21 | Critical
00:03:37 | ICMP | 192.168.207.238:22 | Safe
00:03:37 | UDP | 192.168.130.7:80 | Suspicious
00:03:38 | UDP | 192.168.64.212:3389 | Critical
00:03:38 | ICMP | 192.168.32.48:4447 | Safe
00:03:38 | UDP | 192.168.33.174:443 | Suspicious
00:03:39 | UDP | 192.168.207.247:3389 | Critical
00:03:39 | UDP | 192.168.138.238:22 | Safe
00:03:39 | ICMP | 192.168.185.78:80 | Safe
00:03:40 | UDP | 192.168.7.151:21 | Safe
00:03:40 | ICMP | 192.168.116.80:21 | Safe
00:03:40 | ICMP | 192.168.151.121:3389 | Suspicious
00:03:40 | ICMP | 192.168.144.114:443 | Safe
00:03:41 | ICMP | 192.168.114.227:22 | Safe
00:03:41 | ICMP | 192.168.148.9:22 | Safe
00:03:41 | TCP | 192.168.239.28:1329 | Safe
00:03:42 | ICMP | 192.168.249.99:443 | Safe
00:03:42 | ICMP | 192.168.166.140:443 | Suspicious
00:03:42 | UDP | 192.168.44.170:21 | Critical
00:03:43 | ICMP | 192.168.65.91:3389 | Suspicious
00:03:43 | UDP | 192.168.3.235:21 | Safe
00:03:43 | TCP | 192.168.157.239:4279 | Suspicious
00:03:44 | UDP | 192.168.53.104:443 | Critical
00:03:44 | UDP | 192.168.41.245:80 | Safe
00:03:44 | UDP | 192.168.99.58:2645 | Safe
00:03:44 | TCP | 192.168.181.195:7429 | Critical
00:03:45 | UDP | 192.168.101.126:21 | Safe
00:03:45 | ICMP | 192.168.246.63:3389 | Critical
00:03:45 | UDP | 192.168.31.199:80 | Critical
00:03:46 | ICMP | 192.168.180.123:3389 | Safe
00:03:46 | ICMP | 192.168.128.131:21 | Critical
00:03:46 | TCP | 192.168.78.178:443 | Suspicious
00:03:47 | ICMP | 192.168.173.53:443 | Safe
00:03:47 | UDP | 192.168.209.91:21 | Safe
00:03:47 | ICMP | 192.168.31.237:3389 | Suspicious
00:03:47 | ICMP | 192.168.157.162:80 | Critical
00:03:48 | ICMP | 192.168.226.248:3389 | Critical
00:03:48 | UDP | 192.168.93.226:3389 | Suspicious
00:03:48 | ICMP | 192.168.74.254:3637 | Critical
00:03:49 | UDP | 192.168.30.159:22 | Safe
00:03:49 | UDP | 192.168.114.65:22 | Suspicious
00:03:49 | TCP | 192.168.255.193:443 | Safe
00:03:50 | UDP | 192.168.3.251:3389 | Suspicious
00:03:50 | TCP | 192.168.127.37:443 | Suspicious
00:03:50 | ICMP | 192.168.147.183:22 | Safe
00:03:50 | UDP | 192.168.82.53:21 | Safe
00:03:51 | ICMP | 192.168.215.188:22 | Suspicious
00:03:51 | TCP | 192.168.222.24:443 | Critical
00:03:51 | TCP | 192.168.145.210:7781 | Safe
00:03:52 | TCP | 192.168.71.202:4879 | Critical
00:03:52 | ICMP | 192.168.138.132:21 | Suspicious
00:03:52 | TCP | 192.168.164.59:22 | Safe
00:03:53 | ICMP | 192.168.4.182:443 | Critical
00:03:53 | UDP | 192.168.28.223:5806 | Suspicious
00:03:53 | UDP | 192.168.142.205:21 | Suspicious
00:03:54 | UDP | 192.168.82.205:80 | Safe
00:03:54 | ICMP | 192.168.207.25:443 | Suspicious
00:03:54 | ICMP | 192.168.188.254:22 | Critical
00:03:54 | UDP | 192.168.20.98:3389 | Critical
00:03:55 | TCP | 192.168.94.202:443 | Safe
00:03:55 | UDP | 192.168.206.151:3322 | Critical
00:03:55 | TCP | 192.168.66.72:80 | Critical
00:03:56 | UDP | 192.168.181.80:3389 | Safe
00:03:56 | UDP | 192.168.120.148:80 | Critical
00:03:56 | UDP | 192.168.191.249:443 | Suspicious
00:03:57 | ICMP | 192.168.97.99:3389 | Safe
14:05:04 | UDP  | 192.168.47.173:1111  | Suspicious
14:05:05 | TCP  | 192.168.42.102:1853  | Safe
14:05:05 | TCP  | 192.168.48.236:80    | Critical
14:05:06 | ICMP | 192.168.137.215:8002  | Critical
14:05:06 | TCP  | 192.168.140.8:3389  | Suspicious
14:05:07 | TCP  | 192.168.235.151:22    | Safe
14:05:07 | ICMP | 192.168.221.193:3389  | Safe
14:05:08 | TCP  | 192.168.56.65:5275  | Critical
14:05:08 | UDP  | 192.168.104.107:443   | Critical
14:05:09 | TCP  | 192.168.219.221:21    | Suspicious
14:05:09 | TCP  | 192.168.202.164:80    | Suspicious
14:05:10 | ICMP | 192.168.125.244:6243  | Safe
14:05:10 | ICMP | 192.168.45.34:9455  | Suspicious
14:05:11 | ICMP | 192.168.80.90:21    | Suspicious
14:05:11 | ICMP | 192.168.168.175:21    | Safe
14:05:12 | ICMP | 192.168.4.21:2108  | Suspicious
14:05:12 | ICMP | 192.168.102.112:21    | Critical
14:05:13 | UDP  | 192.168.181.252:80    | Safe
14:05:13 | UDP  | 192.168.77.237:3389  | Critical
14:05:14 | UDP  | 192.168.11.186:21    | Suspicious
14:05:14 | ICMP | 192.168.75.115:22    | Critical
14:05:15 | TCP  | 192.168.47.170:3389  | Suspicious
14:05:15 | ICMP | 192.168.194.103:21    | Critical
14:05:16 | UDP  | 192.168.199.194:80    | Critical
14:05:16 | ICMP | 192.168.40.102:80    | Suspicious
14:05:17 | ICMP | 192.168.252.145:22    | Safe
14:05:17 | UDP  | 192.168.235.129:80    | Safe
14:05:18 | ICMP | 192.168.1.50:2840  | Safe
14:05:18 | UDP  | 192.168.16.79:21    | Suspicious
14:05:19 | UDP  | 192.168.62.205:21    | Safe
14:05:19 | TCP  | 192.168.185.152:80    | Safe
14:05:20 | ICMP | 192.168.246.18:3389  | Critical
14:05:20 | UDP  | 192.168.115.205:9042  | Critical
14:05:21 | ICMP | 192.168.27.179:22    | Safe
14:05:21 | UDP  | 192.168.146.76:22    | Suspicious
14:05:22 | UDP  | 192.168.168.10:21    | Suspicious
14:05:22 | UDP  | 192.168.134.56:443   | Critical
14:05:23 | UDP  | 192.168.111.127:3389  | Safe
14:05:23 | UDP  | 192.168.204.237:80    | Safe
14:05:24 | TCP  | 192.168.171.90:21    | Critical
14:05:24 | TCP  | 192.168.221.136:21    | Critical
14:05:25 | UDP  | 192.168.183.39:21    | Critical
14:05:25 | UDP  | 192.168.113.142:7041  | Safe
14:05:26 | UDP  | 192.168.170.213:443   | Safe
14:05:26 | ICMP | 192.168.174.171:80    | Suspicious
14:05:27 | UDP  | 192.168.255.206:80    | Suspicious
14:05:28 | UDP  | 192.168.23.9:3389  | Suspicious
14:05:28 | ICMP | 192.168.137.197:3389  | Suspicious
14:05:29 | ICMP | 192.168.153.230:80    | Critical
14:05:29 | TCP  | 192.168.14.109:22    | Critical
14:05:30 | UDP  | 192.168.184.163:3389  | Safe
14:05:30 | TCP  | 192.168.134.85:80    | Critical
14:05:31 | UDP  | 192.168.233.136:3389  | Suspicious
14:05:31 | ICMP | 192.168.180.253:3389  | Critical
14:05:32 | UDP  | 192.168.79.249:9416  | Suspicious
14:05:32 | ICMP | 192.168.221.221:22    | Critical
14:05:33 | ICMP | 192.168.63.129:22    | Suspicious
14:05:33 | TCP  | 192.168.83.102:443   | Suspicious
14:05:34 | ICMP | 192.168.184.71:3389  | Suspicious
14:05:34 | UDP  | 192.168.89.213:443   | Safe
14:05:35 | ICMP | 192.168.104.140:80    | Critical
14:05:35 | ICMP | 192.168.168.82:22    | Suspicious
14:05:36 | ICMP | 192.168.55.241:6045  | Critical
14:05:36 | ICMP | 192.168.8.183:22    | Critical
14:05:37 | UDP  | 192.168.204.133:22    | Suspicious
14:05:37 | ICMP | 192.168.6.115:3389  | Suspicious
14:05:38 | TCP  | 192.168.88.94:443   | Critical
14:05:38 | ICMP | 192.168.48.56:2176  | Safe
14:05:39 | TCP  | 192.168.189.136:3389  | Safe
14:05:39 | UDP  | 192.168.98.170:5724  | Safe
14:05:40 | UDP  | 192.168.118.243:3389  | Critical
14:05:40 | UDP  | 192.168.246.173:21    | Safe
14:05:41 | TCP  | 192.168.196.140:22    | Suspicious
14:05:41 | ICMP | 192.168.174.3:80    | Safe
14:05:42 | UDP  | 192.168.94.143:21    | Safe
14:05:42 | ICMP | 192.168.56.118:3389  | Critical
14:05:43 | ICMP | 192.168.121.230:443   | Safe
14:05:43 | UDP  | 192.168.36.36:9955  | Critical
14:05:44 | UDP  | 192.168.246.36:22    | Suspicious
14:05:44 | ICMP | 192.168.2.43:3389  | Safe
14:05:45 | ICMP | 192.168.170.78:9160  | Safe
14:05:45 | ICMP | 192.168.166.222:443   | Suspicious
14:05:46 | UDP  | 192.168.188.254:21    | Safe
14:05:46 | TCP  | 192.168.114.143:9081  | Suspicious
14:06:22 | UDP  | 192.168.132.136:3389  | Safe
14:06:23 | ICMP | 192.168.61.141:443   | Safe
14:06:23 | UDP  | 192.168.113.43:21    | Critical
14:06:24 | UDP  | 192.168.84.180:22    | Safe
14:06:24 | TCP  | 192.168.171.180:443   | Safe
14:06:25 | ICMP | 192.168.240.22:3389  | Safe
14:06:25 | UDP  | 192.168.177.228:3389  | Safe
14:06:26 | UDP  | 192.168.28.77:443   | Critical
14:06:26 | TCP  | 192.168.166.193:1807  | Suspicious
14:06:27 | UDP  | 192.168.124.210:80    | Suspicious
14:06:28 | UDP  | 192.168.33.110:3389  | Suspicious
14:06:28 | TCP  | 192.168.100.131:9332  | Suspicious
14:06:29 | ICMP | 192.168.17.25:22    | Safe
14:06:29 | ICMP | 192.168.97.35:443   | Suspicious
14:06:30 | ICMP | 192.168.207.43:3389  | Safe
14:06:30 | UDP  | 192.168.79.42:1938  | Safe
14:06:31 | ICMP | 192.168.17.111:9215  | Safe
14:06:31 | ICMP | 192.168.219.141:80    | Critical
14:06:32 | ICMP | 192.168.31.36:2005  | Critical
14:06:32 | TCP  | 192.168.138.4:22    | Suspicious
14:06:33 | UDP  | 192.168.174.180:21    | Safe
14:06:33 | UDP  | 192.168.174.232:80    | Safe
14:06:34 | ICMP | 192.168.172.172:443   | Critical
14:06:34 | ICMP | 192.168.2.142:21    | Suspicious
14:06:35 | UDP  | 192.168.28.243:4308  | Critical
14:06:35 | TCP  | 192.168.149.61:80    | Safe
14:06:36 | TCP  | 192.168.237.38:22    | Critical
14:06:36 | UDP  | 192.168.56.204:443   | Critical
14:06:37 | TCP  | 192.168.136.230:443   | Suspicious
14:06:37 | TCP  | 192.168.97.237:21    | Safe
14:06:38 | ICMP | 192.168.11.122:443   | Critical
10:59:24 | ICMP | 192.168.66.99:80    | Critical
10:59:24 | TCP  | 192.168.58.254:5756  | Critical
10:59:25 | ICMP | 192.168.121.226:22    | Suspicious
10:59:25 | UDP  | 192.168.12.195:3389  | Critical
10:59:26 | TCP  | 192.168.175.82:443   | Critical
10:59:26 | ICMP | 192.168.227.83:21    | Suspicious
10:59:27 | TCP  | 192.168.131.20:22    | Safe
10:59:27 | UDP  | 192.168.71.194:443   | Safe
10:59:27 | TCP  | 192.168.39.26:2249  | Suspicious
10:59:28 | TCP  | 192.168.139.166:3389  | Critical
10:59:28 | ICMP | 192.168.27.124:21    | Suspicious
10:59:29 | TCP  | 192.168.127.243:22    | Safe
10:59:29 | UDP  | 192.168.100.80:443   | Suspicious
10:59:29 | TCP  | 192.168.139.155:80    | Safe
10:59:30 | UDP  | 192.168.64.95:80    | Suspicious
10:59:30 | ICMP | 192.168.96.71:443   | Safe
10:59:31 | ICMP | 192.168.107.183:22    | Critical
10:59:31 | TCP  | 192.168.51.68:21    | Safe
10:59:31 | ICMP | 192.168.38.161:6580  | Suspicious
10:59:32 | ICMP | 192.168.234.145:21    | Suspicious
10:59:32 | ICMP | 192.168.246.144:21    | Critical
10:59:33 | ICMP | 192.168.210.150:443   | Critical
10:59:33 | TCP  | 192.168.100.130:3389  | Safe
10:59:33 | ICMP | 192.168.209.66:3389  | Critical
10:59:34 | UDP  | 192.168.38.167:5157  | Suspicious
10:59:34 | TCP  | 192.168.154.151:8579  | Critical
10:59:35 | TCP  | 192.168.24.233:22    | Suspicious
10:59:35 | TCP  | 192.168.234.60:3389  | Safe
10:59:35 | ICMP | 192.168.35.11:3389  | Suspicious
10:59:36 | ICMP | 192.168.94.196:22    | Critical
10:59:36 | ICMP | 192.168.6.62:3389  | Critical
10:59:37 | UDP  | 192.168.120.45:80    | Suspicious
10:59:37 | TCP  | 192.168.89.131:22    | Critical
10:59:37 | TCP  | 192.168.249.107:22    | Safe
10:59:38 | TCP  | 192.168.160.193:443   | Safe
10:59:38 | TCP  | 192.168.8.120:21    | Suspicious
10:59:39 | TCP  | 192.168.170.37:22    | Critical
10:59:39 | ICMP | 192.168.125.13:22    | Critical
10:59:40 | ICMP | 192.168.166.71:443   | Critical
10:59:40 | UDP  | 192.168.134.6:443   | Safe
10:59:40 | TCP  | 192.168.223.108:80    | Suspicious
10:59:41 | ICMP | 192.168.89.226:9828  | Suspicious
10:59:41 | UDP  | 192.168.231.73:80    | Safe
10:59:42 | ICMP | 192.168.47.239:2518  | Safe
10:59:42 | ICMP | 192.168.28.22:22    | Suspicious
10:59:42 | TCP  | 192.168.103.53:21    | Critical
10:59:43 | ICMP | 192.168.36.190:21    | Safe
10:59:43 | UDP  | 192.168.78.67:9142  | Suspicious
10:59:44 | TCP  | 192.168.156.83:22    | Suspicious
10:59:44 | TCP  | 192.168.205.97:443   | Safe
10:59:44 | UDP  | 192.168.2.34:443   | Safe
10:59:45 | UDP  | 192.168.177.212:80    | Suspicious
10:59:45 | UDP  | 192.168.208.40:22    | Safe
10:59:46 | TCP  | 192.168.162.179:443   | Suspicious
10:59:46 | ICMP | 192.168.147.181:3847  | Critical
10:59:46 | TCP  | 192.168.89.194:21    | Safe
10:59:47 | TCP  | 192.168.8.216:3389  | Suspicious
10:59:47 | TCP  | 192.168.158.95:80    | Suspicious
10:59:48 | ICMP | 192.168.183.76:443   | Safe
10:59:48 | TCP  | 192.168.180.212:80    | Critical
10:59:48 | UDP  | 192.168.182.232:22    | Critical
10:59:49 | TCP  | 192.168.195.100:3389  | Suspicious
10:59:49 | TCP  | 192.168.106.197:21    | Safe
10:59:50 | UDP  | 192.168.32.86:21    | Suspicious
10:59:50 | UDP  | 192.168.128.38:3389  | Critical
10:59:50 | UDP  | 192.168.72.124:80    | Safe
10:59:51 | TCP  | 192.168.148.79:4833  | Critical
10:59:51 | TCP  | 192.168.170.152:22    | Suspicious
10:59:52 | TCP  | 192.168.142.230:4017  | Suspicious
10:59:52 | ICMP | 192.168.110.253:443   | Safe
10:59:52 | ICMP | 192.168.225.64:21    | Critical
10:59:53 | TCP  | 192.168.199.3:80    | Critical
10:59:53 | ICMP | 192.168.50.160:443   | Suspicious
10:59:54 | UDP  | 192.168.36.203:22    | Safe
10:59:54 | TCP  | 192.168.76.64:80    | Safe
10:59:54 | UDP  | 192.168.59.80:22    | Critical
10:59:55 | ICMP | 192.168.147.244:443   | Suspicious
10:59:55 | UDP  | 192.168.229.170:443   | Critical
10:59:56 | UDP  | 192.168.208.110:443   | Suspicious
10:59:56 | TCP  | 192.168.86.88:21    | Safe
10:59:56 | TCP  | 192.168.229.166:22    | Suspicious
10:59:57 | TCP  | 192.168.76.235:443   | Critical
10:59:57 | UDP  | 192.168.223.223:443   | Safe
10:59:58 | ICMP | 192.168.160.41:3389  | Critical
10:59:58 | ICMP | 192.168.104.29:80    | Critical
10:59:58 | TCP  | 192.168.71.175:8318  | Critical
10:59:59 | UDP  | 192.168.105.93:21    | Safe
10:59:59 | UDP  | 192.168.137.119:21    | Safe
11:00:00 | ICMP | 192.168.202.28:21    | Critical
11:00:04 | UDP  | 192.168.227.236:21    | Critical
11:00:04 | UDP  | 192.168.233.84:443   | Critical
11:00:05 | ICMP | 192.168.23.208:80    | Safe
11:00:05 | TCP  | 192.168.188.189:21    | Safe
11:00:06 | UDP  | 192.168.48.137:443   | Safe
11:00:06 | ICMP | 192.168.118.39:22    | Suspicious
11:00:06 | UDP  | 192.168.164.165:3389  | Critical
11:00:07 | ICMP | 192.168.58.82:443   | Safe
11:00:07 | UDP  | 192.168.199.222:22    | Suspicious
11:00:08 | TCP  | 192.168.53.34:443   | Suspicious
11:00:12 | UDP  | 192.168.174.232:3389  | Suspicious
11:00:13 | TCP  | 192.168.20.40:22    | Critical
11:00:13 | ICMP | 192.168.129.170:3389  | Safe
11:00:13 | TCP  | 192.168.193.98:3389  | Suspicious
11:00:14 | UDP  | 192.168.31.131:443   | Safe
11:00:14 | TCP  | 192.168.130.68:80    | Suspicious
11:00:15 | TCP  | 192.168.34.193:22    | Safe
11:00:15 | UDP  | 192.168.238.167:22    | Suspicious
11:00:15 | UDP  | 192.168.112.85:443   | Safe
11:00:16 | TCP  | 192.168.18.206:3389  | Suspicious
11:00:16 | UDP  | 192.168.107.20:7231  | Suspicious
11:00:17 | UDP  | 192.168.183.207:80    | Safe
11:00:17 | ICMP | 192.168.41.10:21    | Critical
11:00:18 | UDP  | 192.168.37.124:443   | Suspicious
11:00:18 | UDP  | 192.168.155.117:6727  | Suspicious
11:00:18 | TCP  | 192.168.152.225:22    | Safe
11:00:19 | ICMP | 192.168.172.168:80    | Safe
11:00:19 | ICMP | 192.168.179.182:22    | Critical
11:00:20 | ICMP | 192.168.121.156:22    | Safe
11:00:20 | UDP  | 192.168.124.48:443   | Safe
11:00:20 | TCP  | 192.168.185.242:22    | Critical
11:00:21 | TCP  | 192.168.218.143:8699  | Critical
11:00:21 | UDP  | 192.168.193.195:3389  | Safe
11:00:22 | TCP  | 192.168.87.236:9837  | Suspicious
11:00:22 | TCP  | 192.168.182.80:443   | Critical
11:00:22 | UDP  | 192.168.186.249:22    | Suspicious
11:00:23 | TCP  | 192.168.71.219:22    | Suspicious
11:00:23 | UDP  | 192.168.107.69:3389  | Safe
11:00:24 | ICMP | 192.168.246.88:21    | Safe
11:00:24 | UDP  | 192.168.37.218:80    | Critical
11:00:24 | TCP  | 192.168.43.162:80    | Safe
11:00:25 | TCP  | 192.168.62.112:9201  | Critical
11:00:25 | ICMP | 192.168.217.239:21    | Critical
11:00:26 | ICMP | 192.168.61.213:80    | Critical
11:00:26 | ICMP | 192.168.82.130:80    | Critical
11:00:26 | ICMP | 192.168.223.171:3467  | Safe
11:00:27 | TCP  | 192.168.221.224:21    | Suspicious
11:00:27 | TCP  | 192.168.14.57:80    | Safe
11:00:28 | TCP  | 192.168.46.115:22    | Suspicious
11:00:28 | UDP  | 192.168.14.31:3389  | Suspicious
11:00:29 | ICMP | 192.168.143.88:2202  | Suspicious
11:00:29 | UDP  | 192.168.246.131:6345  | Safe
11:00:29 | TCP  | 192.168.111.54:3389  | Safe
11:00:30 | TCP  | 192.168.242.54:7506  | Suspicious
